x1,x2,x4,x8,x16,x32
185,570,676,1208,2119,4734
195,462,520,1552,2040,5413
239,580,783,1309,2358,5035
265,562,742,1151,2713,4873
184,625,835,1495,3074,5480
185,438,689,1296,2359,4526
230,523,643,1251,2575,3663
262,586,589,1143,3355,4501
268,546,663,1363,2754,5529
185,618,772,1407,2102,5687
205,489,535,1301,2266,5292
184,601,826,1252,2506,5820
215,647,790,1210,3450,4924
186,464,621,1171,2142,4172
276,443,718,1254,2365,5139
205,598,811,1317,2741,5196
186,582,1143,1217,2663,6308
242,570,688,1460,2590,6287
237,574,818,1430,3572,4278
184,538,833,1358,2765,5600
186,461,648,1043,2489,5170
307,545,717,1153,2436,5044
186,456,590,1423,2895,5334
293,597,644,1356,2259,4932
187,527,548,1123,1976,4706
186,458,590,1454,3095,5277
267,576,874,1523,2105,4562
253,439,403,805,1565,4827
185,405,511,837,1743,3994
184,392,1093,1101,2795,4024
200,410,373,773,1642,6041
186,396,418,1072,2697,3506
178,382,733,1426,1832,3933
180,418,1437,1080,3563,6199
353,550,577,1385,3069,6351
223,792,960,1824,2344,4188
199,676,769,914,3057,5236
208,589,580,1491,2871,4646
184,664,748,995,2751,5596
195,860,781,1166,3662,6978
354,674,664,1899,2937,4929
260,865,899,876,28556,5176
190,391,557,1008,1764,6259
198,596,765,1730,3319,8162
198,450,709,1438,1937,5767
245,430,582,1091,1827,3919
402,490,604,1030,1747,3568
184,372,457,981,2989,3189
184,435,642,1158,2480,6147
180,465,782,1301,2652,4913
226,517,748,1210,3098,3728
252,472,596,953,1747,6097
338,947,897,804,2099,4727
184,448,545,1511,3130,6637
200,347,476,2100,2368,5078
264,661,794,1023,1889,6454
532,740,485,913,1887,4344
485,565,547,1266,1523,4388
187,368,502,815,2320,3921
265,625,912,1074,2175,3816
226,407,490,855,2456,3848
199,492,537,843,1751,6662
242,929,645,936,1646,6400
214,527,547,919,1533,8109
212,374,459,968,1819,4234
206,433,599,821,1617,4720
205,456,585,1090,1650,6517
191,400,942,1972,1813,4803
191,507,666,834,1646,4444
211,410,746,1617,2085,4663
293,435,461,806,1551,7348
207,361,534,2263,2107,4630
198,533,553,712,1850,4418
209,724,616,1015,2620,6976
191,395,464,862,1853,4149
199,641,1151,1292,2234,4465
226,389,451,3744,1820,3727
265,424,480,972,1440,4596
205,626,917,1078,2740,4370
227,562,722,1420,2163,4157
220,694,837,1247,2565,3710
228,429,415,811,1901,3673
191,390,467,947,2856,4689
181,558,576,1286,3021,5987
186,362,502,887,2765,4653
291,671,630,1159,1766,4290
193,381,437,949,1644,5209
224,688,1106,1064,1923,4416
273,667,479,855,1898,3470
221,406,574,867,2410,4905
253,763,718,1129,2381,5020
207,639,821,1051,1732,4490
227,433,508,1340,1900,3845
195,409,461,1024,1704,4934
184,359,611,848,2737,3310
298,653,872,1043,3022,5638
186,386,511,1194,1970,6965
208,377,664,1027,2300,6821
220,557,926,881,2072,4944
211,493,1024,1199,2326,4309
