x1,x2,x4,x8,x16,x32
1730,1480,1381,1758,2937,5371
1752,1471,1316,1927,3200,4684
1761,1907,1416,2119,2746,5328
1852,1745,1657,1685,3512,6519
1702,1750,1515,1477,2882,5948
1962,1562,1342,1590,3196,5207
1790,1636,1304,1514,2697,6125
1835,1587,1376,1421,3363,5769
2323,1522,1460,3236,2456,5871
1918,1602,1547,1565,2556,6173
1744,1423,1395,1608,4240,5838
2379,1943,1910,1549,3755,5828
1926,1460,1307,1799,2880,5367
3232,1690,1452,1760,2885,5306
2647,1598,1663,1846,2528,3995
2699,2015,1338,1630,2996,5231
1820,1423,1331,1614,2369,5212
2167,2379,1250,1666,3152,4451
1820,1835,1274,1822,2617,4539
2710,1495,1441,1376,2444,4397
2149,1896,1227,1867,4373,5954
1985,1806,1371,1533,2356,4256
1986,1422,1381,1684,2899,5485
1945,1951,1304,1450,2868,6078
2276,1778,1428,1588,2911,4976
1715,1483,1266,1912,2888,5301
2095,1970,1100,1249,3152,5648
1919,1277,1066,1839,2816,4812
2484,2011,1280,1718,3538,5293
1897,2106,1448,1584,2873,6884
1737,1526,1267,1348,2972,5779
2238,2181,1917,2328,3189,6038
2002,1517,1587,2404,4132,5882
2130,1230,937,1262,4126,6544
1759,2027,1614,1930,2240,4689
1661,1165,1109,1691,3160,5173
1869,1609,1301,1691,3400,5116
1889,1374,979,1326,2410,4890
1726,1254,1374,1639,2511,3519
2016,1290,1255,1869,3362,5431
1673,1185,1567,1741,2785,6893
1668,1816,1328,1568,3281,6654
1837,1516,1553,1600,2453,6712
2255,1692,1408,1564,3860,5282
1758,1806,1904,2274,2852,6224
1836,1329,1077,1432,2198,4695
1709,1346,1188,1489,3088,5657
1664,1200,1158,1346,3001,5209
1713,1549,1048,1482,3126,5189
1838,1463,1262,1829,2531,3783
2054,1653,1588,1573,2702,4044
1737,1267,1053,1815,2800,3712
3005,2214,1337,1362,1990,4098
2189,1432,1323,1636,2442,4822
1979,1311,1102,1368,2506,3775
1912,1492,1247,1291,2874,5681
3140,1538,1566,1359,2699,4546
1793,1237,1111,5122,2516,4221
2097,1432,1136,1690,3896,8872
6329,2708,1604,1512,2329,4113
2192,1474,1135,1307,2290,4078
2571,1609,1156,1262,2464,3282
2759,1974,981,1143,1850,4305
2366,1305,961,1208,2959,4493
2620,1303,1250,1241,2640,3977
2325,1274,1207,1213,2461,3540
2193,1595,1385,1608,3150,4530
2803,1564,1155,1423,2930,5011
2046,1849,1733,2266,3817,5494
2248,1316,1271,1340,3018,4960
2218,1607,1050,1339,3209,3848
2686,1719,1412,1966,2379,4280
2273,1407,1206,1404,2088,4287
3621,1828,1323,1493,3118,3606
2657,1796,1547,1447,2337,4375
1919,1298,1086,1460,2370,6466
1764,1576,1214,1242,2594,5930
2181,1873,1627,1492,7034,4878
2261,1402,1162,1849,2739,8507
5826,2223,1632,1523,2690,7334
1819,3362,1759,1532,2624,3832
1837,1271,1224,1477,2277,4763
2119,2373,1811,1494,2482,4894
2022,1211,969,1130,2149,4119
2109,1843,1263,1233,2066,8113
1768,1702,1231,1345,2150,4629
2356,1414,1261,1264,2080,3408
2018,1725,1173,1239,1943,3674
2117,1258,1164,1334,2093,3634
1881,1234,2989,1651,3523,5732
1768,1237,970,1171,2577,3654
2316,2122,913,1039,2281,3939
3740,2005,1311,1310,2514,4591
1748,2022,1304,1444,2306,7392
1740,3060,1603,1535,2494,5656
1664,1778,1477,1316,2405,6870
2111,2465,1806,1515,2228,3963
3044,1512,1444,1352,2476,4276
2773,2585,1775,1405,4373,5016
2248,1293,1204,1833,2278,7241
